ISSN	CategoryName
0001-6810	社会科学总论
1785-8860	工程学
0303-464X	临床医学
1678-0345	植物学与动物学
1644-0692	农业科学
1644-0730	农业科学
1509-409X	分子生物学与遗传学
0210-4806	临床医学
1476-7503	社会科学总论
1469-7874	社会科学总论
0882-7516	工程学
1765-2723	社会科学总论
1316-8533	经济与商业
0258-6444	社会科学总论
0964-5284	临床医学
2052-8817	临床医学
1551-9899	计算机科学
1570-8705	计算机科学
1531-5754	临床医学
0214-4840	临床医学
2162-3945	生物学与生物化学
0894-587X	社会科学总论
0308-5759	社会科学总论
2119-0275	工程学
2199-160X	材料科学
1614-6832	材料科学
2192-2640	材料科学
2196-7350	材料科学
2195-1071	材料科学
2228-5881	药理学和毒理学
1816-112X	工程学
1049-250X	物理学
0972-3617	数学
0065-2113	农业科学
0301-5556	分子生物学与遗传学
1743-6753	材料科学
0188-7009	数学
2070-0733	数学
0065-2156	工程学
0065-2164	生物学与生物化学
1687-7969	空间科学
0724-6145	生物学与生物化学
0065-2296	植物学与动物学
1864-8258	数学
0065-230X	临床医学
0065-2318	生物学与生物化学
0065-2326	临床医学
0360-0564	化学
0065-2385	物理学
0065-2407	精神病学与心理学
0065-2415	化学
1687-8086	工程学
0065-2423	临床医学
1899-5276	临床医学
1895-1171	精神病学与心理学
0065-2458	计算机科学
1687-8108	物理学
1862-5347	数学
1687-1847	数学
0974-3243	数学
1079-9389	数学
0065-2504	环境科学与生态学
1582-7445	工程学
0065-2598	临床医学
0065-2601	精神病学与心理学
1687-7101	数学
0065-2660	分子生物学与遗传学
0065-2687	地球科学
0065-2725	化学
1687-7357	物理学
2321-8568	生物学与生物化学
1687-5893	计算机科学
1076-5670	物理学
0065-2776	免疫学
0898-8838	化学
0065-2806	植物学与动物学
1569-4909	社会科学总论
2095-3127	工程学
0065-2881	植物学与动物学
1687-8434	材料科学
1687-9120	物理学
1930-5346	数学
1687-8132	工程学
1896-1126	临床医学
1838-7357	精神病学与心理学
1687-9309	地球科学
0065-2911	微生物学
1687-5680	工程学
2043-6254	综合交叉学科
1536-0903	临床医学
2191-9496	数学
2161-8313	生物学与生物化学
1687-9147	社会科学总论
1943-8206	物理学
0065-3055	化学
0065-308X	微生物学
0065-3160	化学
0065-3195	化学
1876-1623	生物学与生物化学
0065-3268	精神病学与心理学
0065-3276	化学
2299-8624	工程学
1527-7941	临床医学
0742-3322	经济与商业
1095-0761	物理学
1687-5915	工程学
0065-3527	微生物学
2162-1918	临床医学
0065-3454	神经系统学与行为学
1984-5634	艺术与人类学
1875-9637	地球科学
0001-9054	数学
1680-8584	环境科学与生态学
2375-6314	临床医学
1090-820X	临床医学
1592-6117	经济与商业
0002-0397	社会科学总论
1872-5457	社会科学总论
1680-6905	临床医学
1936-0282	计算机科学
2225-2002	生物学与生物化学
2210-9730	社会科学总论
0795-4778	社会科学总论
1118-4841	社会科学总论
2042-1338	综合交叉学科
0189-6016	临床医学
2305-7963	环境科学与生态学
2223-6589	物理学
1024-6029	社会科学总论
0002-0206	社会科学总论
1569-2094	社会科学总论
0065-4124	社会科学总论
1013-0950	社会科学总论
1368-5538	临床医学
2152-5250	临床医学
1945-4589	分子生物学与遗传学
1663-7852	农业科学
1984-252X	农业科学
0303-1853	经济与商业
0742-4477	农业科学
1870-5472	农业科学
0139-570X	经济与商业
2168-3565	农业科学
1774-0746	农业科学
1873-9318	环境科学与生态学
1535-7414	临床医学
0734-7324	临床医学
1110-0168	工程学
2211-9264	生物学与生物化学
1937-0652	数学
0002-5232	数学
1472-2739	数学
1748-7188	分子生物学与遗传学
1999-4893	数学
0941-8849	临床医学
2092-7355	免疫学
1710-1484	免疫学
2036-5195	社会科学总论
1664-2201	植物学与动物学
1552-5260	神经系统学与行为学
1758-9193	神经系统学与行为学
2348-5191	环境科学与生态学
0002-6980	社会科学总论
1945-7782	经济与商业
1945-7731	经济与商业
1945-7707	经济与商业
1945-7669	经济与商业
1080-3920	社会科学总论
1533-3175	神经系统学与行为学
1059-0889	临床医学
2160-1992	生物学与生物化学
2156-6976	临床医学
2160-200X	临床医学
1175-3277	药理学和毒理学
2164-7712	免疫学
1932-5037	社会科学总论
1049-9091	临床医学
1553-6203	临床医学
1557-9883	社会科学总论
1548-7768	社会科学总论
1945-8924	临床医学
2160-4150	生物学与生物化学
1943-8141	生物学与生物化学
1465-7252	经济与商业
0272-2011	社会科学总论
1582-9146	经济与商业
1300-1795	社会科学总论
2167-8421	神经系统学与行为学
1302-6631	精神病学与心理学
2352-5568	临床医学
1472-0299	临床医学
1224-1784	数学
1582-2486	社会科学总论
1575-2437	社会科学总论
0212-9728	精神病学与心理学
1137-6627	社会科学总论
0211-2175	社会科学总论
1529-7489	社会科学总论
1948-206X	数学
0133-3852	数学
0219-5305	数学
2299-3274	数学
1664-2368	数学
2213-6657	社会科学总论
2210-7177	生物学与生物化学
1759-9660	化学
0884-6812	生物学与生物化学
2149-2263	临床医学
1932-8486	生物学与生物化学
1935-9772	社会科学总论
1870-0063	社会科学总论
0718-7106	地球科学
2047-2919	临床医学
1976-8354	分子生物学与遗传学
0972-2963	农业科学
1836-0939	农业科学
1806-9614	植物学与动物学
1751-7311	植物学与动物学
1300-0861	植物学与动物学
2108-6524	临床医学
2195-4755	数学
0066-2216	数学
0294-1260	临床医学
0003-469X	临床医学
0365-0812	植物学与动物学
1563-3241	临床医学
2300-8733	植物学与动物学
1932-6157	数学
1476-0711	微生物学
1040-1237	精神病学与心理学
0218-0006	数学
1013-9087	临床医学
1092-9134	临床医学
1529-7373	经济与商业
1844-8135	植物学与动物学
2008-8752	数学
1108-7471	临床医学
1744-859X	精神病学与心理学
2214-9996	临床医学
1665-2681	临床医学
0972-2327	神经系统学与行为学
2110-5820	临床医学
2234-3806	临床医学
1174-5398	社会科学总论
0972-7531	神经系统学与行为学
